,Problem Name,Graph-based?,Algo # (within problem),Name/Source,Runtime,10^10 compute (regular/sparse),10^10 compute (dense),10^15 compute (regular/sparse),10^15 compute (dense),10^20 compute (regular/sparse),10^20 compute (dense),10^25 compute (regular/sparse),10^25 compute (dense),10^30 compute (regular/sparse),10^30 compute (dense),Approx factor,(approx factor relative position),"Approx (10^10, regular/sparse)","Approx (10^10, dense)","Approx (10^15, regular/sparse)","Approx (10^15, dense)","Approx (10^20, regular/sparse)","Approx (10^20, dense)","Approx (10^25, regular/sparse)","Approx (10^25, dense)","Approx (10^30, regular/sparse)","Approx (10^30, dense)"
51,Vertex Cover,Y,2.0,,,10000000000.0,100000.0,1000000000000000.0,31620000.0,1e+20,10000000000.0,1e+25,3162000000000.0,1e+30,1000000000000000.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
52,Vertex Cover,Y,3.0,,,1124.0,1124.0,45349.0,45349.0,1905000.0,1905000.0,818700000.0,818700000.0,3569000000.0,3569000000.0,2-2/Delta,1.999,1.998,1.998,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
53,Vertex Cover,Y,4.0,,,4641000.0,10000.0,10000000000.0,1000000.0,21540000000000.0,100000000.0,4.641e+16,10000000000.0,1e+20,1000000000000.0,2-2/sqrt(n),1.998,1.999,1.98,2.0,1.998,2.0,2.0,2.0,2.0,2.0,2.0
54,Vertex Cover,Y,5.0,,,31091.0,2154.0,7933000.0,100000.0,2157000000.0,4641000.0,607000000000.0,215400000.0,174600000000000.0,10000000000.0,2-2/sqrt(n),1.998,1.989,1.957,1.999,1.994,2.0,1.999,2.0,2.0,2.0,2.0
55,Vertex Cover,Y,6.0,,,100000.0,2154.0,31620000.0,100000.0,10000000000.0,4641000.0,3162000000000.0,215400000.0,1000000000000000.0,10000000000.0,2-(log log n)/log n,1.996,1.788,1.734,1.835,1.788,1.864,1.822,1.883,1.846,1.897,1.864
56,Vertex Cover,Y,7.0,,,31091.0,2154.0,7933000.0,100000.0,2157000000.0,4641000.0,607000000000.0,215400000.0,174600000000000.0,10000000000.0,2-(log log n)/log n,1.996,1.774,1.734,1.826,1.788,1.857,1.822,1.878,1.846,1.894,1.864
57,Vertex Cover,Y,8.0,,,100000.0,2154.0,31620000.0,100000.0,10000000000.0,4641000.0,3162000000000.0,215400000.0,1000000000000000.0,10000000000.0,2-O(log log n)/log n,1.996,1.788,1.734,1.835,1.788,1.864,1.822,1.883,1.846,1.897,1.864
58,Vertex Cover,Y,9.0,,,100000.0,2154.0,31620000.0,100000.0,10000000000.0,4641000.0,3162000000000.0,215400000.0,1000000000000000.0,10000000000.0,2/(1+eps),1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995,1.995
59,Vertex Cover,Y,10.0,,,719.0,60.0,19307.0,469.0,517947.0,3651.0,13890000.0,28389.0,372700000.0,220690.0,2-(2-o(1))(log log Delta)/log Delta,1.9955,1.427,1.311,1.536,1.409,1.608,1.487,1.659,1.546,1.698,1.592
60,Vertex Cover,Y,11.0,,,8.0,8.0,26.0,26.0,80.0,80.0,240.0,240.0,719.0,719.0,2-Theta(1/sqrt(log n)),1.993,1.307,1.307,1.446,1.446,1.522,1.522,1.573,1.573,1.61,1.61
61,Vertex Cover Size,Y,1.0,,,95.0,95.0,142.0,142.0,190.0,190.0,237.0,237.0,285.0,285.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,Vertex Cover Size,Y,2.0,,,134100000000.0,25.0,3.934e+29,68.0,1e+40,152.0,1e+40,305.0,1e+40,570.0,"(2 ln(ln n) + 1, eps n)",4.01,7.517,7.468,9.473,9.469,10.076,11.078,10.076,12.471,10.076,13.721
